"farm_id","index1","block_id","Datatime","rad","temp","date"
229,88,88,2019-08-01 21:45:00,0,30.6,2019-08-01
229,89,89,2019-08-01 22:00:00,0,30.6,2019-08-01
229,90,90,2019-08-01 22:15:00,0,30.5,2019-08-01
229,91,91,2019-08-01 22:30:00,0,30.4,2019-08-01
229,92,92,2019-08-01 22:45:00,0,30.3,2019-08-01
229,93,93,2019-08-01 23:00:00,0,30.2,2019-08-01
229,94,94,2019-08-01 23:15:00,0,30.2,2019-08-01
229,95,95,2019-08-01 23:30:00,0,30.1,2019-08-01
229,96,96,2019-08-01 23:45:00,0,30,2019-08-01
229,1,1,2019-08-02 00:00:00,0,29.9,2019-08-02
229,2,2,2019-08-02 00:15:00,0,29.8,2019-08-02
229,3,3,2019-08-02 00:30:00,0,29.7,2019-08-02
229,4,4,2019-08-02 00:45:00,0,29.6,2019-08-02
229,5,5,2019-08-02 01:00:00,0,29.5,2019-08-02
229,6,6,2019-08-02 01:15:00,0,29.3823529411765,2019-08-02
229,7,7,2019-08-02 01:30:00,0,29.2647058823529,2019-08-02
229,8,8,2019-08-02 01:45:00,0,29.1470588235294,2019-08-02
229,9,9,2019-08-02 02:00:00,0,29.0294117647059,2019-08-02
229,10,10,2019-08-02 02:15:00,0,28.9117647058824,2019-08-02
229,11,11,2019-08-02 02:30:00,0,28.7941176470588,2019-08-02
229,12,12,2019-08-02 02:45:00,0,28.6764705882353,2019-08-02
229,13,13,2019-08-02 03:00:00,0,28.5588235294118,2019-08-02
229,14,14,2019-08-02 03:15:00,0,28.4411764705882,2019-08-02
229,15,15,2019-08-02 03:30:00,0,28.3235294117647,2019-08-02
229,16,16,2019-08-02 03:45:00,0,28.2058823529412,2019-08-02
229,17,17,2019-08-02 04:00:00,0,28.0882352941176,2019-08-02
229,18,18,2019-08-02 04:15:00,0,27.9705882352941,2019-08-02
229,19,19,2019-08-02 04:30:00,0,27.8529411764706,2019-08-02
229,20,20,2019-08-02 04:45:00,0,27.7352941176471,2019-08-02
229,21,21,2019-08-02 05:00:00,0,27.6176470588235,2019-08-02
229,22,22,2019-08-02 05:15:00,0,27.5,2019-08-02
229,23,23,2019-08-02 05:30:00,0,27.4,2019-08-02
229,24,24,2019-08-02 05:45:00,0,27.7,2019-08-02
229,25,25,2019-08-02 06:00:00,0,27.6,2019-08-02
229,26,26,2019-08-02 06:15:00,28,27.5,2019-08-02
229,27,27,2019-08-02 06:30:00,55,27.4,2019-08-02
229,28,28,2019-08-02 06:45:00,89,27.4,2019-08-02
229,29,29,2019-08-02 07:00:00,127,27.4,2019-08-02
229,30,30,2019-08-02 07:15:00,170,27.4,2019-08-02
229,31,31,2019-08-02 07:30:00,213,27.7,2019-08-02
229,32,32,2019-08-02 07:45:00,256,28,2019-08-02
229,33,33,2019-08-02 08:00:00,304,28.4,2019-08-02
229,34,34,2019-08-02 08:15:00,346,28.8,2019-08-02
229,35,35,2019-08-02 08:30:00,275,28.8,2019-08-02
229,36,36,2019-08-02 08:45:00,318,29.2,2019-08-02
229,37,37,2019-08-02 09:00:00,362,29.6,2019-08-02
229,38,38,2019-08-02 09:15:00,407,30,2019-08-02
229,39,39,2019-08-02 09:30:00,403,30.6,2019-08-02
229,40,40,2019-08-02 09:45:00,444,30.9,2019-08-02
229,41,41,2019-08-02 10:00:00,486,31.2,2019-08-02
229,42,42,2019-08-02 10:15:00,527,31.6,2019-08-02
229,43,43,2019-08-02 10:30:00,531,31.9,2019-08-02
229,44,44,2019-08-02 10:45:00,567,32.2,2019-08-02
229,45,45,2019-08-02 11:00:00,603,32.5,2019-08-02
229,46,46,2019-08-02 11:15:00,637,32.8,2019-08-02
229,47,47,2019-08-02 11:30:00,639,32.7,2019-08-02
229,48,48,2019-08-02 11:45:00,659,32.9,2019-08-02
229,49,49,2019-08-02 12:00:00,677,33.2,2019-08-02
229,50,50,2019-08-02 12:15:00,693,33.4,2019-08-02
229,51,51,2019-08-02 12:30:00,705,33.6,2019-08-02
229,52,52,2019-08-02 12:45:00,711,33.7,2019-08-02
229,53,53,2019-08-02 13:00:00,714,33.8,2019-08-02
229,54,54,2019-08-02 13:15:00,713,33.9,2019-08-02
229,55,55,2019-08-02 13:30:00,710,34,2019-08-02
